"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2019-05-20",49969,0.05,49767,2372,0
"2019-05-21",49831,0.37,49735,18523,0
"2019-05-22",50229,0.41,49598,20309,0
"2019-05-23",50518,0.42,49996,20923,0
"2019-05-24",50577,1.38,50281,69532,0
"2019-05-25",50577,1.38,50344,69532,0
"2019-05-26",50577,1.38,50344,69532,0.77
"2019-05-27",50104,1.43,50344,71877,0.967142857142857
"2019-05-28",50104,0.37,49871,18523,0.967142857142857
"2019-05-29",50104,0.37,49871,18523,0.961428571428571
"2019-05-30",50182,0.41,49871,20300,0.96
"2019-05-31",50493,0.4,49948,20042,0.82
"2019-06-01",50493,0.4,50260,20042,0.68
"2019-06-02",50493,0.4,50260,20042,0.54
"2019-06-03",50613,0.4,50380,20042,0.392857142857143
"2019-06-04",49971,0.4,49738,20042,0.397142857142857
"2019-06-05",49683,0.41,49450,20042,0.402857142857143
"2019-06-06",49372,0.45,49450,22442,0.408571428571429
"2019-06-07",48916,0.41,48683,20042,0.41
"2019-06-08",48916,0.41,48683,20042,0.411428571428571
"2019-06-09",48916,0.41,48683,20042,0.412857142857143
"2019-06-10",48473,0.41,48682,20064,0.414285714285714
"2019-06-11",48469.06,0.15,48240,7461,0.378571428571429
"2019-06-12",48462.06,0.08,48236,3919,0.331428571428571
"2019-06-13",48423.06,0.08,48229,3919,0.278571428571429
"2019-06-14",47623.06,0.57,48188,27321,0.301428571428571
"2019-06-15",47623.06,0.54,47390,25802,0.32
"2019-06-16",47623.06,0.54,47390,25802,0.338571428571429
"2019-06-17",47587.06,0.6,47390,28227,0.365714285714286
"2019-06-18",46396.06,0.65,46163,30091,0.437142857142857
"2019-06-19",46495.06,0.65,46029,30091,0.518571428571429
"2019-06-20",45698.06,0.65,46028,30113,0.6
"2019-06-21",45705.06,0.09,45239,4289,0.531428571428571
"2019-06-22",45705.06,0.09,45239,4289,0.467142857142857
"2019-06-23",45705.06,0.09,45239,4289,0.402857142857143
"2019-06-24",45714.06,0.09,45248,4289,0.33
"2019-06-25",45714.06,0.09,45248,4289,0.25
"2019-06-26",45637.06,0.09,45171,4289,0.17
"2019-06-27",45627.06,0.15,45171,6747,0.0985714285714286
"2019-06-28",45850.06,0.25,45160,11326,0.121428571428571
"2019-06-29",45850.06,0.25,45384,11326,0.144285714285714
"2019-06-30",45849.06,0.25,45383,11326,0.167142857142857
"2019-07-01",45982.06,0.29,45383,13153,0.195714285714286
"2019-07-02",46110.06,0.25,45644,11326,0.218571428571429
"2019-07-03",46201.06,0.25,45735,11326,0.241428571428571
"2019-07-04",46195.06,0.25,45735,11348,0.255714285714286
"2019-07-05",46024.06,0.25,45720,11326,0.255714285714286
"2019-07-06",46024.06,0,0,0,0.22
"2019-07-07",46024.06,0,0,0,0.184285714285714
"2019-07-08",46039.06,0.05,45558,2400,0.15
"2019-07-09",46026.06,0.05,45560,2353,0.121428571428571
"2019-07-10",46042.06,0.01,45561,525,0.0871428571428571
"2019-07-11",46050.06,0.01,45584,525,0.0528571428571429
"2019-07-12",46854.06,0.88,45584,40021,0.142857142857143
"2019-07-13",46854.06,0.86,46388,40021,0.265714285714286
"2019-07-14",46294.06,0.87,45828,40021,0.39
"2019-07-15",46528.06,0.87,45828,40043,0.507142857142857
"2019-07-16",45815.06,0.88,45349,40021,0.625714285714286
"2019-07-17",47486.06,0.94,45209,42452,0.758571428571429
"2019-07-18",46829.06,0.9,47066,42466,0.885714285714286
"2019-07-19",46824.06,0.01,46125,525,0.761428571428571
"2019-07-20",46824.06,0.01,46125,525,0.64
"2019-07-21",46824.06,0.01,46125,525,0.517142857142857
"2019-07-22",46794.06,0.06,46125,2925,0.401428571428571
"2019-07-23",46795.06,0.01,46096,525,0.277142857142857
"2019-07-24",46815.06,0.01,46109,547,0.144285714285714
"2019-07-25",46818.06,0.01,46121,525,0.0171428571428571
"2019-07-26",46823.06,0.01,46124,525,0.0171428571428571
"2019-07-27",46823.06,0.01,46124,525,0.0171428571428571
"2019-07-28",46823.06,0.01,46124,525,0.0171428571428571
"2019-07-29",46913.06,0.33,46139,15084,0.0557142857142857
"2019-07-30",44773.06,0.73,46211,33630,0.158571428571429
"2019-07-31",44582.06,0.39,43882,16974,0.212857142857143
"2019-08-01",44484.06,0.33,43883,14559,0.258571428571429
"2019-08-02",44470.06,0.33,43771,14559,0.304285714285714
"2019-08-03",44470.06,0.33,43771,14559,0.35
"2019-08-04",44470.06,0.33,43771,14559,0.395714285714286
"2019-08-05",44091.06,2.05,43442,89143,0.641428571428571
"2019-08-06",44198.06,2.05,43499,89143,0.83
"2019-08-07",42511.06,2.19,41812,91543,1.08714285714286
"2019-08-08",41771.06,2.17,41072,89143,1.35
"2019-08-09",42156.06,2.24,41271,92489,1.62285714285714
"2019-08-10",42156.06,2.23,41457,92489,1.89428571428571
"2019-08-11",42156.06,2.23,41457,92489,2.16571428571429
"2019-08-12",43501.06,2.27,41457,94302,2.19714285714286
"2019-08-13",41854.06,2.83,41155,116489,2.30857142857143
"2019-08-14",42944.06,2.83,41155,116512,2.4
"2019-08-15",43100.06,2.67,42401,113143,2.47142857142857
"2019-08-16",41952.06,2.76,41253,113983,2.54571428571429
"2019-08-17",41952.06,2.76,41253,113983,2.62142857142857
"2019-08-18",41952.06,2.78,41020,113983,2.7
"2019-08-19",39188.06,3.04,38256,116383,2.81
"2019-08-20",38915.06,3,37983,113983,2.83428571428571
"2019-08-21",38041.06,3.07,37109,114006,2.86857142857143
"2019-08-22",37568.06,3.11,36636,113983,2.93142857142857
"2019-08-23",38874.06,3,37942,113983,2.96571428571429
"2019-08-24",38874.06,3,37942,113983,3
"2019-08-25",35986.06,3.25,35054,113983,3.06714285714286
"2019-08-26",37264.06,3.26,35742,116383,3.09857142857143
"2019-08-27",37239.06,3.14,36307,113983,3.11857142857143
"2019-08-28",37721.06,3.21,36307,116383,3.13857142857143
"2019-08-29",37877.06,3.16,36789,116383,3.14571428571429
"2019-08-30",39455.06,2.96,38523,113983,3.14
"2019-08-31",39455.06,2.96,38523,113983,3.13428571428571
"2019-09-01",39454.06,3.02,38523,116383,3.10142857142857
"2019-09-02",36955.06,3.16,36023,113983,3.08714285714286
"2019-09-03",36877.06,3.17,35945,114006,3.09142857142857
"2019-09-04",38865.06,3.17,35945,113983,3.08571428571429
"2019-09-05",39516.06,3.07,37933,116383,3.07285714285714
"2019-09-06",21985.06,5.41,21053,113983,3.42285714285714
"2019-09-07",21985.06,5.41,21053,113983,3.77285714285714
"2019-09-08",21985.06,5.41,21053,113983,4.11428571428571
"2019-09-09",21985.06,5.53,21053,116383,4.45285714285714
"2019-09-10",21985.06,5.41,21053,113983,4.77285714285714
"2019-09-11",21985.06,5.53,21053,116400,5.11
"2019-09-12",21985.06,5.41,21053,113983,5.44428571428571
"2019-09-13",21813.06,6.75,20881,140983,5.63571428571429
"2019-09-14",21813.06,6.75,20881,140983,5.82714285714286
"2019-09-15",21813.06,6.75,20881,140983,6.01857142857143
"2019-09-16",21813.06,6.84,20881,142796,6.20571428571429
"2019-09-17",21813.06,6.75,20881,140983,6.39714285714286
"2019-09-18",21813.06,6.75,20881,140983,6.57142857142857
"2019-09-19",21813.06,6.75,20881,140983,6.76285714285714
"2019-09-20",21213.06,7.03,20048,140983,6.80285714285714
"2019-09-21",21213.06,7.03,20048,140983,6.84285714285714
"2019-09-22",21213.06,7.03,20048,140983,6.88285714285714
"2019-09-23",21213.06,7.03,20048,140983,6.91
"2019-09-24",21213.06,7.03,20048,140983,6.95
"2019-09-25",21213.06,7.03,20048,140983,6.99
"2019-09-26",21212.06,6.31,20048,126424,6.92714285714286
"2019-09-27",21082.06,6.35,19917,126424,6.83
"2019-09-28",21082.06,6.35,19917,126424,6.73285714285714
"2019-09-29",21082.06,6.35,19917,126424,6.63571428571429
"2019-09-30",21082.06,6.35,19917,126424,6.53857142857143
"2019-10-01",21082.06,6.35,19917,126424,6.44142857142857
"2019-10-02",21082.06,6.35,19917,126424,6.34428571428571
"2019-10-03",21082.06,6.35,19917,126424,6.35
"2019-10-04",20992.06,6.38,19827,126424,6.35428571428571
"2019-10-05",20992.06,6.38,19827,126424,6.35857142857143
"2019-10-06",20992.06,6.38,19827,126424,6.36285714285714
"2019-10-07",20992.06,6.38,19827,126424,6.36714285714286
"2019-10-08",20992.06,6.38,19827,126424,6.37142857142857
"2019-10-09",20992.06,6.38,19827,126424,6.37571428571429
"2019-10-10",20992.06,6.38,19827,126424,6.38
"2019-10-11",15469.06,8.84,14304,126424,6.73142857142857
"2019-10-12",15469.06,8.84,14304,126424,7.08285714285714
"2019-10-13",15469.06,8.84,14304,126424,7.43428571428571
"2019-10-14",15469.06,8.84,14304,126424,7.78571428571429
"2019-10-15",15469.06,8.84,14304,126424,8.13714285714286
"2019-10-16",15469.06,8.84,14304,126424,8.48857142857143
"2019-10-17",15469.06,8.84,14304,126424,8.84
"2019-10-18",15469.06,8.84,14304,126424,8.84
"2019-10-19",15469.06,8.84,14304,126424,8.84
"2019-10-20",15469.06,8.84,14304,126424,8.84
"2019-10-21",15469.06,8.84,14304,126424,8.84
"2019-10-22",15469.06,8.84,14304,126424,8.84
"2019-10-23",15469.06,8.84,14304,126424,8.84
"2019-10-24",15469.06,8.84,14304,126424,8.84
"2019-10-25",15469.06,8.84,14304,126424,8.84
"2019-10-26",15448.06,9,14050,126424,8.86285714285714
"2019-10-27",15448.06,9,14050,126424,8.88571428571429
"2019-10-28",15448.06,9,14050,126424,8.90857142857143
"2019-10-29",15448.06,9,14050,126424,8.93142857142857
"2019-10-30",15448.06,9,14050,126424,8.95428571428571
"2019-10-31",15448.06,9,14050,126424,8.97714285714286
"2019-11-01",15448.06,9,14050,126424,9
"2019-11-02",15448.06,9,14050,126424,9
"2019-11-03",15448.06,9,14050,126424,9
"2019-11-04",15448.06,9,14050,126424,9
"2019-11-05",15448.06,9,14050,126424,9
"2019-11-06",15448.06,9,14050,126424,9
"2019-11-07",15448.06,9,14050,126424,9
"2019-11-08",15448.06,9,14050,126424,9
"2019-11-09",15448.06,9,14050,126424,9
"2019-11-10",15448.06,9,14050,126424,9
"2019-11-11",15448.06,9,14050,126424,9
"2019-11-12",15448.06,9,14050,126424,9
"2019-11-13",15448.06,9,14050,126424,9
"2019-11-14",15448.06,9,14050,126424,9
"2019-11-15",15448.06,9,14050,126424,9
"2019-11-16",15448.06,9,14050,126424,9
"2019-11-17",15448.06,9,14050,126424,9
"2019-11-18",15448.06,9,14050,126424,9
"2019-11-19",15448.06,9,14050,126424,9
"2019-11-20",15448.06,9,14050,126424,9
"2019-11-21",15448.06,9,14050,126424,9
"2019-11-22",15448.06,9,14050,126424,9
"2019-11-23",15448.06,9,14050,126424,9
"2019-11-24",15448.06,9,14050,126424,9
"2019-11-25",15448.06,9,14050,126424,9
"2019-11-26",15448.06,9,14050,126424,9
"2019-11-27",15448.06,9,14050,126424,9
"2019-11-28",15448.06,9,14050,126424,9
"2019-11-29",15448.06,9,14050,126424,9
"2019-11-30",15448.06,9,14050,126424,9
"2019-12-01",15448.06,9,14050,126424,9
"2019-12-02",15448.06,9,14050,126424,9
"2019-12-03",15448.06,9,14050,126424,9
"2019-12-04",15448.06,9,14050,126424,9
"2019-12-05",15448.06,9,14050,126424,9
"2019-12-06",15448.06,9,14050,126424,9
"2019-12-07",15448.06,9,14050,126424,9
"2019-12-08",15448.06,9,14050,126424,9
"2019-12-09",15448.06,9,14050,126424,9
"2019-12-10",15448.06,9,14050,126424,9
"2019-12-11",15448.06,9,14050,126424,9
"2019-12-12",15448.06,9,14050,126424,9
"2019-12-13",15448.06,9,14050,126424,9
"2019-12-14",15448.06,9,14050,126424,9
"2019-12-15",15448.06,9,14050,126424,9
"2019-12-16",15448.06,9,14050,126424,9
"2019-12-17",15448.06,9,14050,126424,9
"2019-12-18",15448.06,9,14050,126424,9
"2019-12-19",15448.06,9,14050,126424,9
"2019-12-20",15448.06,9,14050,126424,9
"2019-12-21",15448.06,9,14050,126424,9
"2019-12-22",15448.06,9,14050,126424,9
"2019-12-23",15448.06,9,14050,126424,9
"2019-12-24",15448.06,9,14050,126424,9
"2019-12-25",15448.06,9,14050,126424,9
"2019-12-26",15448.06,9,14050,126424,9
"2019-12-27",15448.06,9,14050,126424,9
"2019-12-28",15448.06,9,14050,126424,9
"2019-12-29",15448.06,9,14050,126424,9
"2019-12-30",15448.06,9,14050,126424,9
"2019-12-31",15448.06,9,14050,126424,9
"2020-01-01",15448.06,9,14050,126424,9
"2020-01-02",15448.06,9,14050,126424,9
"2020-01-03",15448.06,9,14050,126424,9
"2020-01-04",15448.06,9,14050,126424,9
"2020-01-05",15448.06,9,14050,126424,9
"2020-01-06",15448.06,9,14050,126424,9
"2020-01-07",15448.06,9,14050,126424,9
"2020-01-08",15448.06,9,14050,126424,9
"2020-01-09",15448.06,9,14050,126424,9
"2020-01-10",15448.06,9,14050,126424,9
"2020-01-11",15448.06,9,14050,126424,9
"2020-01-12",15448.06,9,14050,126424,9
"2020-01-13",15448.06,9,14050,126424,9
"2020-01-14",15448.06,9,14050,126424,9
"2020-01-15",15448.06,9,14050,126424,9
"2020-01-16",15448.06,9,14050,126424,9
"2020-01-17",15448.06,9,14050,126424,9
"2020-01-18",15448.06,9,14050,126424,9
"2020-01-19",28579.06,4.69,26948,126424,8.38428571428571
"2020-01-20",28579.06,4.69,26948,126424,7.76857142857143
"2020-01-21",28579.06,4.69,26948,126424,7.15285714285714
"2020-01-22",28579.06,4.69,26948,126424,6.53714285714286
"2020-01-23",28579.06,4.69,26948,126424,5.92142857142857
"2020-01-24",28579.06,4.69,26948,126424,5.30571428571429
"2020-01-25",25714.06,5.3,23850,126424,4.77714285714286
"2020-01-26",25714.06,5.3,23850,126424,4.86428571428571
"2020-01-27",25714.06,5.3,23850,126424,4.95142857142857
"2020-01-28",25714.06,5.3,23850,126424,5.03857142857143
"2020-01-29",25714.06,5.3,23850,126424,5.12571428571429
"2020-01-30",25714.06,5.3,23850,126424,5.21285714285714
"2020-01-31",25714.06,5.3,23850,126424,5.3
"2020-02-01",25714.06,5.3,23850,126424,5.3
"2020-02-02",25714.06,5.3,23850,126424,5.3
"2020-02-03",25714.06,5.3,23850,126424,5.3
"2020-02-04",25714.06,5.3,23850,126424,5.3
"2020-02-05",25714.06,5.3,23850,126424,5.3
"2020-02-06",25714.06,5.3,23850,126424,5.3
"2020-02-07",25714.06,5.3,23850,126424,5.3
"2020-02-08",25714.06,5.3,23850,126424,5.3
"2020-02-09",25714.06,5.3,23850,126424,5.3
"2020-02-10",25714.06,5.3,23850,126424,5.3
"2020-02-11",25714.06,5.3,23850,126424,5.3
"2020-02-12",25714.06,5.3,23850,126424,5.3
"2020-02-13",25714.06,5.3,23850,126424,5.3
"2020-02-14",25714.06,5.3,23850,126424,5.3
"2020-02-15",25714.06,5.3,23850,126424,5.3
"2020-02-16",25714.06,5.3,23850,126424,5.3
"2020-02-17",25714.06,5.3,23850,126424,5.3
"2020-02-18",25714.06,5.3,23850,126424,5.3
"2020-02-19",25714.06,5.3,23850,126424,5.3
"2020-02-20",25714.06,5.3,23850,126424,5.3
"2020-02-21",25714.06,5.3,23850,126424,5.3
"2020-02-22",25714.06,5.3,23850,126424,5.3
"2020-02-23",25714.06,5.3,23850,126424,5.3
"2020-02-24",25714.06,5.3,23850,126424,5.3
"2020-02-25",25714.06,5.3,23850,126424,5.3
"2020-02-26",25714.06,5.3,23850,126424,5.3
"2020-02-27",25714.06,5.3,23850,126424,5.3
"2020-02-28",25714.06,5.3,23850,126424,5.3
"2020-02-29",25714.06,5.3,23850,126424,5.3
"2020-03-01",25714.06,5.3,23850,126424,5.3
"2020-03-02",25714.06,5.3,23850,126424,5.3
"2020-03-03",25714.06,5.3,23850,126424,5.3
"2020-03-04",25714.06,5.3,23850,126424,5.3
"2020-03-05",25714.06,5.3,23850,126424,5.3
"2020-03-06",25714.06,5.3,23850,126424,5.3
"2020-03-07",25714.06,5.3,23850,126424,5.3
"2020-03-08",25714.06,5.3,23850,126424,5.3
"2020-03-09",25714.06,5.3,23850,126424,5.3
"2020-03-10",25714.06,5.3,23850,126424,5.3
"2020-03-11",25714.06,5.3,23850,126424,5.3
"2020-03-12",25712.06,5.51,23850,131308,5.33
"2020-03-13",25712.06,5.3,23850,126424,5.33
"2020-03-14",25712.06,5.3,23850,126424,5.33
"2020-03-15",25712.06,5.3,23850,126424,5.33
"2020-03-16",25708.06,4.17,23850,99424,5.16857142857143
