"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2019-02-25",10963,12.62,9794,123552,0
"2019-02-26",10763,5.81,10631,61776,0
"2019-02-27",10663,5.87,10531,61776,0
"2019-02-28",10884,0,10765,0,0
"2019-03-01",10430,6,10298,61776,0
"2019-03-02",10430,6,10298,61776,0
"2019-03-03",9930,6.3,9798,61776,6.08571428571429
"2019-03-04",11139,12.5,9882,123552,6.06857142857143
"2019-03-05",11477,5.45,11345,61776,6.01714285714286
"2019-03-06",11835,0,11316,0,5.17857142857143
"2019-03-07",11835,0,0,0,5.17857142857143
"2019-03-08",11835,0,0,0,4.32142857142857
"2019-03-09",11835,0,0,0,3.46428571428571
"2019-03-10",11835,0,0,0,2.56428571428571
"2019-03-11",11835,0,0,0,0.778571428571429
"2019-03-12",11835,0,0,0,0
"2019-03-13",11835,0,0,0,0
"2019-03-14",11835,0,0,0,0
"2019-03-15",11835,0,0,0,0
"2019-03-16",11835,0,0,0,0
"2019-03-17",11835,0,0,0,0
"2019-03-18",11977,5.28,11695,61776,0.754285714285714
"2019-03-19",11886,5.26,11754,61776,1.50571428571429
"2019-03-20",12086,5.17,11954,61776,2.24428571428571
"2019-03-21",10748,5.82,10616,61776,3.07571428571429
"2019-03-22",12719,0,11050,0,3.07571428571429
"2019-03-23",12719,0,0,0,3.07571428571429
"2019-03-24",12719,0,0,0,3.07571428571429
"2019-03-25",12719,0,0,0,2.32142857142857
"2019-03-26",13474,4.91,12579,61776,2.27142857142857
"2019-03-27",13474,0,0,0,1.53285714285714
"2019-03-28",13474,0,0,0,0.701428571428571
"2019-03-29",13474,0,0,0,0.701428571428571
"2019-03-30",13474,0,0,0,0.701428571428571
"2019-03-31",13474,0,0,0,0.701428571428571
"2019-04-01",13474,0,0,0,0.701428571428571
"2019-04-02",13474,0,0,0,0
"2019-04-03",13474,0,0,0,0
"2019-04-04",13474,0,0,0,0
"2019-04-05",13474,0,0,0,0
"2019-04-06",13474,0,0,0,0
"2019-04-07",13474,0,0,0,0
"2019-04-08",13474,0,0,0,0
"2019-04-09",13474,0,0,0,0
"2019-04-10",13474,0,0,0,0
"2019-04-11",13474,0,0,0,0
"2019-04-12",13474,0,0,0,0
"2019-04-13",13474,0,0,0,0
"2019-04-14",13474,0,0,0,0
"2019-04-15",13474,0,0,0,0
"2019-04-16",13541,4.68,13202,61776,0.668571428571428
"2019-04-17",14624,4.65,13273,61776,1.33285714285714
"2019-04-18",14595,0,14269,0,1.33285714285714
"2019-04-19",14595,0,0,0,1.33285714285714
"2019-04-20",14595,0,0,0,1.33285714285714
"2019-04-21",14595,0,0,0,1.33285714285714
"2019-04-22",14595,0,0,0,1.33285714285714
"2019-04-23",14595,0,0,0,0.664285714285714
"2019-04-24",14595,0,0,0,0
"2019-04-25",14450,4.31,14323,61776,0.615714285714286
"2019-04-26",14450,0,0,0,0.615714285714286
"2019-04-27",14450,0,0,0,0.615714285714286
"2019-04-28",14450,0,0,0,0.615714285714286
"2019-04-29",14450,0,0,0,0.615714285714286
"2019-04-30",14450,0,0,0,0.615714285714286
"2019-05-01",14450,0,0,0,0.615714285714286
"2019-05-02",14246,4.46,13850,61776,0.637142857142857
"2019-05-03",12771,4.99,12375,61776,1.35
"2019-05-04",12771,4.99,12375,61776,2.06285714285714
"2019-05-05",14642,0,12371,0,2.06285714285714
"2019-05-06",14642,0,0,0,2.06285714285714
"2019-05-07",14642,0,0,0,2.06285714285714
"2019-05-08",14642,0,0,0,2.06285714285714
"2019-05-09",14642,0,0,0,1.42571428571429
"2019-05-10",14642,0,0,0,0.712857142857143
"2019-05-11",14642,0,0,0,0
"2019-05-12",14642,0,0,0,0
"2019-05-13",14642,0,0,0,0
"2019-05-14",14642,0,0,0,0
"2019-05-15",14642,0,0,0,0
"2019-05-16",14075,4.52,13679,61776,0.645714285714286
"2019-05-17",14813,4.28,14417,61776,1.25714285714286
"2019-05-18",14813,4.28,14417,61776,1.86857142857143
"2019-05-19",14450,4.4,14054,61776,2.49714285714286
"2019-05-20",15150,4.19,14754,61776,3.09571428571429
"2019-05-21",14550,4.36,14154,61776,3.71857142857143
"2019-05-22",15475,4.1,15079,61776,4.30428571428571
"2019-05-23",16646,0,15550,0,3.65857142857143
"2019-05-24",16646,0,0,0,3.04714285714286
"2019-05-25",16646,0,0,0,2.43571428571429
"2019-05-26",16646,0,0,0,1.80714285714286
"2019-05-27",16646,0,0,0,1.20857142857143
"2019-05-28",16646,0,0,0,0.585714285714286
"2019-05-29",16646,0,0,0,0
"2019-05-30",16646,0,0,0,0
"2019-05-31",16646,0,0,0,0
"2019-06-01",16646,0,0,0,0
"2019-06-02",16646,0,0,0,0
"2019-06-03",16646,0,0,0,0
"2019-06-04",16646,0,0,0,0
"2019-06-05",16646,0,0,0,0
"2019-06-06",16646,0,0,0,0
"2019-06-07",16646,0,0,0,0
"2019-06-08",16646,0,0,0,0
"2019-06-09",16723.59,1.15,16117,18480,0.164285714285714
"2019-06-10",16633.59,1.15,16106,18480,0.328571428571429
"2019-06-11",16667.59,1.14,16140,18480,0.491428571428571
"2019-06-12",16659.59,1.15,16132,18480,0.655714285714286
"2019-06-13",16509.59,1.16,15982,18480,0.821428571428571
"2019-06-14",16588.59,1.15,16061,18480,0.985714285714286
"2019-06-15",16588.59,1.15,16061,18480,1.15
"2019-06-16",16539.59,1.15,16012,18480,1.15
