"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2016-02-14",10101.21,1.44,9997,14419,0
"2016-02-15",10450.42,0,10390,0,0
"2016-02-16",10087.63,0.48,10088,4800,0
"2016-02-17",10587.05,2.34,10582,24710,0
"2016-02-18",10798.26,0.03,10798,356,0
"2016-02-19",10802.26,0.15,10795,1620,0
"2016-02-20",10802.26,0.15,10802,1620,0.655714285714286
"2016-02-21",10802.26,0.15,10802,1620,0.471428571428571
"2016-02-22",10805.26,0.18,10801,1905,0.497142857142857
"2016-02-23",10802.26,0.18,10802,1905,0.454285714285714
"2016-02-24",10827.26,0.29,10801,3170,0.161428571428571
"2016-02-25",10824.26,0.41,10814,4434,0.215714285714286
"2016-02-26",10859.26,0.41,10859,4434,0.252857142857143
"2016-02-27",10859.26,0.41,10859,4434,0.29
"2016-02-28",10859.26,0.41,10859,4434,0.327142857142857
"2016-02-29",10852.26,0.41,10852,4434,0.36
"2016-03-01",10937.26,0.45,10850,4922,0.398571428571429
"2016-03-02",10842.47,2.38,10842,25838,0.697142857142857
"2016-03-03",11048.89,1.31,11029,14419,0.825714285714286
"2016-03-04",10776.89,1.34,10777,14419,0.958571428571429
"2016-03-05",10776.89,1.34,10777,14419,1.09142857142857
"2016-03-06",10820.89,1.33,10821,14419,1.22285714285714
"2016-03-07",10416.89,1.38,10417,14419,1.36142857142857
"2016-03-08",11114.1,0,10850,0,1.29714285714286
"2016-03-09",11114.1,0,0,0,0.957142857142857
"2016-03-10",11114.1,0,0,0,0.77
"2016-03-11",11112.1,0.64,11113,7108,0.67
"2016-03-12",11112.1,0.64,11112,7108,0.57
"2016-03-13",11112.1,0.64,11112,7108,0.471428571428571
"2016-03-14",11116.1,0.64,11116,7108,0.365714285714286
"2016-03-15",11132.1,0,11115,0,0.365714285714286
"2016-03-16",11145.1,0.32,11087,3548,0.411428571428571
"2016-03-17",10868.31,1.99,10825,21578,0.695714285714286
"2016-03-18",10654.31,2.03,10611,21578,0.894285714285714
"2016-03-19",10654.31,2.03,10611,21578,1.09285714285714
"2016-03-20",10728.31,2.02,10685,21578,1.29
"2016-03-21",10574.31,2.05,10531,21578,1.49142857142857
"2016-03-22",10694.31,2.03,10651,21578,1.78142857142857
"2016-03-23",10775.52,4.31,10733,46288,2.35142857142857
"2016-03-24",11031.94,2.31,10699,24710,2.39714285714286
"2016-03-25",11031.94,0,0,0,2.10714285714286
"2016-03-26",11031.94,0,0,0,1.81714285714286
"2016-03-27",11031.94,0,0,0,1.52857142857143
"2016-03-28",11031.94,0,0,0,1.23571428571429
"2016-03-29",11031.94,0,0,0,0.945714285714286
"2016-03-30",11088.15,2.52,10990,27710,0.69
"2016-03-31",11241.15,2.47,11198,27710,0.712857142857143
"2016-04-01",11373.36,0.27,11194,3000,0.751428571428571
"2016-04-02",11373.36,0,0,0,0.751428571428571
"2016-04-03",11373.36,0,0,0,0.751428571428571
"2016-04-04",11376.36,0.13,11329,1498,0.77
"2016-04-05",11385.36,0,11332,0,0.77
"2016-04-06",11383.36,0.22,11342,2468,0.441428571428571
"2016-04-07",11350.36,0.44,11313,4937,0.151428571428571
"2016-04-08",11380.36,0.33,11337,3703,0.16
"2016-04-09",11380.36,0.33,11337,3703,0.207142857142857
"2016-04-10",11380.36,0.33,11337,3703,0.254285714285714
"2016-04-11",11390.36,0.22,11357,2468,0.267142857142857
"2016-04-12",11404.36,0,11360,0,0.267142857142857
"2016-04-13",11424.36,0.05,11360,605,0.242857142857143
"2016-04-14",11328.57,1.95,11378,22182,0.458571428571429
"2016-04-15",11404.57,1.91,11319,21578,0.684285714285714
"2016-04-16",11404.57,1.91,11319,21578,0.91
"2016-04-17",11573.78,0,11492,0,0.862857142857143
"2016-04-18",11573.78,0,0,0,0.831428571428571
"2016-04-19",11573.78,0,0,0,0.831428571428571
"2016-04-20",11585.78,0.05,11487,631,0.831428571428571
"2016-04-21",11598.78,0,11513,0,0.552857142857143
"2016-04-22",11598.78,0,0,0,0.28
"2016-04-23",11598.78,0,0,0,0.00714285714285714
"2016-04-24",11598.78,0,0,0,0.00714285714285714
"2016-04-25",11598.78,0,0,0,0.00714285714285714
"2016-04-26",11598.78,0,0,0,0.00714285714285714
"2016-04-27",11598.78,0,0,0,0
"2016-04-28",11627.78,0.04,11512,465,0.00571428571428571
"2016-04-29",11631.78,0,11541,0,0.00571428571428571
"2016-04-30",11631.78,0,0,0,0.00571428571428571
"2016-05-01",11631.78,0,0,0,0.00571428571428571
"2016-05-02",11631.78,0,0,0,0.00571428571428571
"2016-05-03",11631.78,0,0,0,0.00571428571428571
"2016-05-04",11631.78,0,0,0,0.00571428571428571
"2016-05-05",11623.78,0.04,11548,503,0.00571428571428571
"2016-05-06",11581.78,0.07,11493,755,0.0157142857142857
"2016-05-07",11581.78,0.07,11496,755,0.0257142857142857
"2016-05-08",11581.78,0.07,11496,755,0.0357142857142857
"2016-05-09",11665.78,0.04,11495,503,0.0414285714285714
"2016-05-10",11622.78,0.04,11537,503,0.0471428571428571
"2016-05-11",11598.78,0.04,11513,503,0.0528571428571429
"2016-05-12",11616.78,0.04,11531,503,0.0528571428571429
"2016-05-13",11616.78,0.04,11531,503,0.0485714285714286
"2016-05-14",11616.78,0.04,11531,503,0.0442857142857143
"2016-05-15",11616.78,0.04,11488,503,0.04
"2016-05-16",11590.78,0.04,11462,503,0.04
"2016-05-17",11578.78,0.04,11450,503,0.04
"2016-05-18",11654.78,0.07,11459,755,0.0442857142857143
"2016-05-19",11697.78,0,11525,0,0.0385714285714286
"2016-05-20",11697.78,0,0,0,0.0328571428571429
"2016-05-21",11697.78,0,0,0,0.0271428571428571
"2016-05-22",11697.78,0,0,0,0.0214285714285714
"2016-05-23",11697.78,0,0,0,0.0157142857142857
"2016-05-24",11726.2,1.02,11562,11843,0.155714285714286
"2016-05-25",11724.2,0.08,11596,872,0.157142857142857
"2016-05-26",11715.2,0.08,11586,872,0.168571428571429
"2016-05-27",11692.2,0.08,11563,872,0.18
"2016-05-28",11692.2,0.08,11563,872,0.191428571428571
"2016-05-29",11692.2,0.08,11563,872,0.202857142857143
"2016-05-30",11692.2,0.08,11563,872,0.214285714285714
"2016-05-31",11786.62,2.21,11563,25583,0.384285714285714
"2016-06-01",11786.62,0.07,11658,872,0.382857142857143
"2016-06-02",11786.62,0.07,11658,872,0.381428571428571
"2016-06-03",11786.62,0.07,11658,872,0.38
"2016-06-04",11786.62,0.07,11658,872,0.378571428571429
"2016-06-05",11782.62,0.07,11654,872,0.377142857142857
"2016-06-06",11782.62,0.07,11654,872,0.375714285714286
