"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2019-03-04",36450,0,0,0,0
"2019-03-05",36706.48,1.26,35804,45035,0
"2019-03-06",36687.76,1.26,35768,45035,0
"2019-03-07",36688.24,0.16,36065,5919,0
"2019-03-08",36841.16,6.42,35756,229592,0
"2019-03-09",36841.16,0,0,0,0
"2019-03-10",36841.16,0,0,0,1.3
"2019-03-11",36788.64,1.23,36159,44422,1.47571428571429
"2019-03-12",37056.57,5.33,35891,191336,2.05714285714286
"2019-03-13",36716.21,5.2,36139,187958,2.62
"2019-03-14",37003.53,5.2,36077,187584,3.34
"2019-03-15",37003.53,0,0,0,2.42285714285714
"2019-03-16",37003.53,0,0,0,2.42285714285714
"2019-03-17",37003.53,0,0,0,2.42285714285714
"2019-03-18",37003.53,0,0,0,2.24714285714286
"2019-03-19",37197.36,2.66,36478,96852,1.86571428571429
"2019-03-20",38006.36,5.18,36569,189410,1.86285714285714
"2019-03-21",39800.66,8.21,37445,307313,2.29285714285714
"2019-03-22",40871.97,5.29,39509,208933,3.04857142857143
"2019-03-23",40871.97,0,0,0,3.04857142857143
"2019-03-24",40843.13,0.61,40238,24658,3.13571428571429
"2019-03-25",42096.86,6.83,40260,275063,4.11142857142857
"2019-03-26",42136.63,1.93,41501,80068,4.00714285714286
"2019-03-27",43023.27,1.92,41565,79916,3.54142857142857
"2019-03-28",43086.95,1.54,42304,64985,2.58857142857143
"2019-03-29",43005.27,1.62,42450,68610,2.06428571428571
"2019-03-30",43005.27,0.09,42377,3634,2.07714285714286
"2019-03-31",43005.27,0.09,42377,3634,2.00285714285714
"2019-04-01",43151.31,1.62,42377,68580,1.25857142857143
"2019-04-02",43662.43,1.61,42475,68530,1.21285714285714
"2019-04-03",43871.03,2.04,42423,86480,1.23
"2019-04-04",44367.75,2.02,42699,86385,1.29857142857143
"2019-04-05",44405.15,2,43118,86347,1.35285714285714
"2019-04-06",44405.15,0,0,0,1.34
"2019-04-07",44405.15,0,0,0,1.32714285714286
"2019-04-08",44669.31,1.93,43093,83066,1.37142857142857
"2019-04-09",45288.47,2.2,43882,96646,1.45571428571429
"2019-04-10",45557.83,2.41,44325,106700,1.50857142857143
"2019-04-11",45850.19,2.58,44176,113967,1.58857142857143
"2019-04-12",45849.75,1.11,44503,49420,1.46142857142857
"2019-04-13",45849.75,0.94,44594,42099,1.59571428571429
"2019-04-14",45849.75,0.94,44594,42099,1.73
"2019-04-15",46238.95,2.93,44690,130949,1.87285714285714
"2019-04-16",46570.99,1.92,45251,86855,1.83285714285714
"2019-04-17",47163.27,3.17,45613,144460,1.94142857142857
"2019-04-18",48095.31,2.89,46274,133720,1.98571428571429
"2019-04-19",48095.31,0.09,46839,4068,1.84
"2019-04-20",48095.31,0.09,46839,4068,1.71857142857143
"2019-04-21",48095.31,0.09,46839,4068,1.59714285714286
"2019-04-22",48095.31,0.09,46839,4069,1.19142857142857
"2019-04-23",48574.31,3.18,46777,148556,1.37142857142857
"2019-04-24",49148.91,1.19,47262,56180,1.08857142857143
"2019-04-25",49883.91,3.07,47911,147286,1.11428571428571
"2019-04-26",50126.31,2.93,48930,143386,1.52
"2019-04-27",50126.31,0.08,48870,4010,1.51857142857143
"2019-04-28",50126.31,0.08,48870,4010,1.51714285714286
"2019-04-29",51391.51,1.96,48766,95691,1.78428571428571
"2019-04-30",51797.71,2.97,49982,148400,1.75428571428571
"2019-05-01",51797.71,0,0,0,1.58428571428571
"2019-05-02",52778.31,2.83,50752,143786,1.55
"2019-05-03",53010.11,1.61,51513,83073,1.36142857142857
"2019-05-04",53010.11,0.08,51126,4032,1.36142857142857
"2019-05-05",53030.11,0.08,51146,4032,1.36142857142857
"2019-05-06",53030.11,0.08,51146,4032,1.09285714285714
"2019-05-07",53091.71,0.97,51182,49882,0.807142857142857
"2019-05-08",53138.91,1.87,51175,95744,1.07428571428571
"2019-05-09",53240.51,0.51,51246,26225,0.742857142857143
"2019-05-10",53320.71,1.11,51335,57038,0.671428571428571
"2019-05-11",53320.71,0.08,51437,4044,0.671428571428571
