"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2019-06-10",24977.9,0.08,24842,2107
"2019-06-11",24961.22,0.16,24818,3934
"2019-06-12",25050.72,0.21,24801,5134
"2019-06-13",24978.41,0.24,24890,6035
"2019-06-14",25083.98,0.35,24840,8752
"2019-06-15",25083.98,0.35,24926,8752
"2019-06-16",25083.98,0.35,24926,8752
"2019-06-17",24836.07,0.43,24683,10511
"2019-06-18",24690.41,0.27,24674,6596
"2019-06-19",24668.41,0.22,24510,5396
"2019-06-20",24529.67,0.33,24355,8096
"2019-06-21",24703.67,0.25,24546,6259
"2019-06-22",24703.67,0.25,24546,6259
"2019-06-23",24703.67,0.25,24546,6259
"2019-06-24",24910,0.33,24539,8058
"2019-06-25",24841.55,0.41,24657,10165
"2019-06-26",24818.37,0.45,24677,11022
"2019-06-27",24840.42,0.36,24658,8915
"2019-06-28",24728.71,0.4,24674,9837
"2019-06-29",24728.71,0.36,24571,8954
"2019-06-30",24728.71,0.36,24571,8954
"2019-07-01",24623.19,0.4,24570,9864
"2019-07-02",24752.99,0.44,24465,10756
"2019-07-03",25050.08,0.61,24779,15193
"2019-07-04",25050.08,0.61,24892,15193
"2019-07-05",25231.33,0.65,24885,16089
"2019-07-06",25231.33,0.46,25073,11650
"2019-07-07",25231.33,0.46,25073,11650
"2019-07-08",25357.16,0.43,25039,10745
"2019-07-09",25331.64,0.5,25225,12558
"2019-07-10",25070.14,0.43,24912,10749
"2019-07-11",25171.08,0.47,24763,11635
"2019-07-12",24992.59,0.48,24842,12003
"2019-07-13",24992.59,0.34,24677,8419
"2019-07-14",24992.59,0.34,24677,8419
"2019-07-15",24966.82,0.29,24676,7162
"2019-07-16",25229.82,0.29,24907,7177
"2019-07-17",25355.82,0.29,25040,7177
"2019-07-18",25493.02,0.42,25048,10618
"2019-07-19",25357.87,0.46,25172,11508
"2019-07-20",25357.87,0.44,25042,11061
"2019-07-21",25357.87,0.44,25042,11061
"2019-07-22",25205.99,0.48,25033,11996
"2019-07-23",25046.56,0.41,24799,10158
"2019-07-24",24820.72,0.38,24639,9265
"2019-07-25",24814.35,0.34,24500,8425
"2019-07-26",24800.65,0.4,24469,9897
"2019-07-27",24800.65,0.4,24485,9897
"2019-07-28",24800.65,0.4,24485,9897
"2019-07-29",24909.57,0.45,24305,10849
"2019-07-30",24719.4,0.61,24377,14791
"2019-07-31",24646.3,0.57,24394,13880
"2019-08-01",24941.94,0.55,24329,13377
"2019-08-02",25131.8,0.49,24621,12118
"2019-08-03",25131.8,0.42,24816,10302
"2019-08-04",25131.8,0.42,24816,10302
"2019-08-05",25467.8,0.47,24811,11545
"2019-08-06",25456.95,0.44,25145,11171
"2019-08-07",25427.67,0.38,25139,9633
"2019-08-08",25203.74,0.56,24886,13882
"2019-08-09",25414.7,0.57,24883,14232
"2019-08-10",25414.7,0.44,24941,10895
"2019-08-11",25414.7,0.44,24941,10895
"2019-08-12",25682.97,0.49,24932,12118
"2019-08-13",25584.5,0.46,25198,11507
"2019-08-14",25960.14,0.42,25107,10510
"2019-08-15",26014.14,0.36,25540,9249
"2019-08-16",25746.14,0.44,25306,11081
"2019-08-17",25746.14,0.44,25272,11081
"2019-08-18",25746.14,0.44,25272,11081
"2019-08-19",25486.52,0.47,25273,12001
"2019-08-20",25438.73,0.49,25009,12314
"2019-08-21",25398.91,0.46,24962,11394
"2019-08-22",25408.31,0.36,24928,8875
"2019-08-23",25661.42,0.4,24887,9864
"2019-08-24",25661.42,0.39,25187,9864
"2019-08-25",25661.42,0.39,25187,9864
"2019-08-26",25641.42,0.39,25167,9864
"2019-08-27",25789.28,0.41,25102,10226
"2019-08-28",25389.69,0.44,25309,11078
"2019-08-29",25169.26,0.54,24716,13339
"2019-08-30",25216.45,0.45,24691,11120
"2019-08-31",25216.45,0.45,24742,11120
"2019-09-01",25216.45,0.45,24742,11120
"2019-09-02",25216.45,0.45,24742,11120
"2019-09-03",25454.8,0.48,24871,11995
"2019-09-04",25443.63,0.6,24762,14750
"2019-09-05",24954.13,0.61,24465,14805
"2019-09-06",24857.48,0.57,24347,13931
"2019-09-07",24857.48,0.57,24383,13931
"2019-09-08",24857.48,0.58,24225,13931
"2019-09-09",24378.5,0.59,23787,13940
"2019-09-10",23888.12,0.59,23437,13818
"2019-09-11",23830.19,0.52,23143,12026
"2019-09-12",24022.19,0.48,23390,11126
"2019-09-13",23492.69,0.45,22861,10291
"2019-09-14",23492.69,0.45,22861,10291
"2019-09-15",23492.69,0.45,22861,10291
"2019-09-16",22662.69,0.47,22031,10291
"2019-09-17",22980.4,0.52,22025,11347
"2019-09-18",23335.4,0.5,22703,11347
"2019-09-19",23213.4,0.5,22581,11347
"2019-09-20",23281.4,0.5,22649,11347
"2019-09-21",23281.4,0.5,22649,11347
"2019-09-22",23281.4,0.5,22649,11347
"2019-09-23",23118.4,0.5,22486,11347
"2019-09-24",23438.4,0.5,22806,11347
"2019-09-25",22805.4,0.51,22173,11347
"2019-09-26",22287.9,0.48,21656,10472
"2019-09-27",22180.9,0.49,21549,10472
"2019-09-28",22180.9,0.49,21549,10472
"2019-09-29",22180.9,0.49,21549,10472
