"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2018-02-06",50000,0,0,0
"2018-02-07",50000,0,0,0
"2018-02-08",50000,0,0,0
"2018-02-09",50000,0,0,0
"2018-02-10",50000,0,0,0
"2018-02-11",50000,0,0,0
"2018-02-12",50000,0,0,0
"2018-02-13",50000,0,0,0
"2018-02-14",50000,0,0,0
"2018-02-15",50000,0,0,0
"2018-02-16",50000,0,0,0
"2018-02-17",50000,0,0,0
"2018-02-18",50000,0,0,0
"2018-02-19",50000,0,0,0
"2018-02-20",50000,0,0,0
"2018-02-21",50000,0,0,0
"2018-02-22",50000,0,0,0
"2018-02-23",50000,0,0,0
"2018-02-24",50000,0,0,0
"2018-02-25",50000,0,0,0
"2018-02-26",50000,0,0,0
"2018-02-27",50000,0,0,0
"2018-02-28",50000,0,0,0
"2018-03-01",50000,0,0,0
"2018-03-02",50000,0,0,0
"2018-03-03",50000,0,0,0
"2018-03-04",50000,0,0,0
"2018-03-05",50000,0,0,0
"2018-03-06",50000,0,0,0
"2018-03-07",50000,0,0,0
"2018-03-08",50000,0,0,0
"2018-03-09",50000,0,0,0
"2018-03-10",50000,0,0,0
"2018-03-11",50000,0,0,0
"2018-03-12",50000,0,0,0
"2018-03-13",50000,0,0,0
"2018-03-14",50000,0,0,0
"2018-03-15",50000,0,0,0
"2018-03-16",50000,0,0,0
"2018-03-17",50000,0,0,0
"2018-03-18",50000,0,0,0
"2018-03-19",50000,0,0,0
"2018-03-20",50000,0,0,0
"2018-03-21",50000,0,0,0
"2018-03-22",50000,0,0,0
"2018-03-23",50000,0,0,0
"2018-03-24",50000,0,0,0
"2018-03-25",50000,0,0,0
"2018-03-26",50000,0,0,0
"2018-03-27",50000,0,0,0
"2018-03-28",50000,0,0,0
"2018-03-29",50000,0,0,0
"2018-03-30",50000,0,0,0
"2018-03-31",50000,0,0,0
"2018-04-01",50000,0,0,0
"2018-04-02",50000,0,0,0
"2018-04-03",50000,0,0,0
"2018-04-04",50000,0,0,0
"2018-04-05",50000,0,0,0
"2018-04-06",50000,0,0,0
"2018-04-07",50000,0,0,0
"2018-04-08",50000,0,0,0
"2018-04-09",50000,0,0,0
"2018-04-10",50000,0,0,0
"2018-04-11",50000,0,0,0
"2018-04-12",50000,0,0,0
"2018-04-13",50000,0,0,0
"2018-04-14",50000,0,0,0
"2018-04-15",50000,0,0,0
"2018-04-16",50000,0,0,0
"2018-04-17",50000,0,0,0
"2018-04-18",50000,0,0,0
"2018-04-19",50000,0,0,0
"2018-04-20",50000,0,0,0
"2018-04-21",50000,0,0,0
"2018-04-22",50000,0,0,0
"2018-04-23",50000,0,0,0
"2018-04-24",50000,0,0,0
"2018-04-25",50000,0,0,0
"2018-04-26",50000,0,0,0
"2018-04-27",50000,0,0,0
"2018-04-28",50000,0,0,0
"2018-04-29",50000,0,0,0
"2018-04-30",50000,0,0,0
"2018-05-01",50000,0,0,0
"2018-05-02",50000,0,0,0
"2018-05-03",50000,0,0,0
"2018-05-04",50000,0,0,0
"2018-05-05",50000,0,0,0
"2018-05-06",50000,0,0,0
"2018-05-07",50000,0,0,0
"2018-05-08",50000,0,0,0
"2018-05-09",50000,0,0,0
"2018-05-10",50000,0,0,0
"2018-05-11",50000,0,0,0
"2018-05-12",50000,0,0,0
"2018-05-13",50000,0,0,0
"2018-05-14",50000,0,0,0
"2018-05-15",50000,0,0,0
"2018-05-16",50000,0,0,0
"2018-05-17",50000,0,0,0
"2018-05-18",50000,0,0,0
"2018-05-19",50000,0,0,0
"2018-05-20",50000,0,0,0
"2018-05-21",50000,0,0,0
"2018-05-22",50000,0,0,0
"2018-05-23",50000,0,0,0
"2018-05-24",50000,0,0,0
"2018-05-25",50000,0,0,0
"2018-05-26",50000,0,0,0
"2018-05-27",50000,0,0,0
"2018-05-28",50000,0,0,0
"2018-05-29",50000,0,0,0
"2018-05-30",50000,0,0,0
"2018-05-31",50000,0,0,0
"2018-06-01",50000,0,0,0
"2018-06-02",50000,0,0,0
"2018-06-03",50000,0,0,0
"2018-06-04",50000,0,0,0
"2018-06-05",50000,0,0,0
"2018-06-06",50000,0,0,0
"2018-06-07",50000,0,0,0
"2018-06-08",50000,0,0,0
"2018-06-09",50000,0,0,0
"2018-06-10",50000,0,0,0
"2018-06-11",50000,0,0,0
"2018-06-12",50000,0,0,0
"2018-06-13",50000,0,0,0
"2018-06-14",50000,0,0,0
"2018-06-15",50000,0,0,0
"2018-06-16",50000,0,0,0
"2018-06-17",50000,0,0,0
"2018-06-18",50000,0,0,0
"2018-06-19",50000,0,0,0
"2018-06-20",50000,0,0,0
"2018-06-21",50000,0,0,0
"2018-06-22",50000,0,0,0
"2018-06-23",50000,0,0,0
"2018-06-24",50000,0,0,0
"2018-06-25",50000,0,0,0
"2018-06-26",50000,0,0,0
"2018-06-27",50000,0,0,0
"2018-06-28",50000,0,0,0
"2018-06-29",50000,0,0,0
"2018-06-30",50000,0,0,0
"2018-07-01",50000,0,0,0
"2018-07-02",50000,0,0,0
"2018-07-03",50000,0,0,0
"2018-07-04",50000,0,0,0
"2018-07-05",50000,0,0,0
"2018-07-06",50000,0,0,0
"2018-07-07",50000,0,0,0
"2018-07-08",50000,0,0,0
"2018-07-09",50000,0,0,0
"2018-07-10",50000,0,0,0
"2018-07-11",50000,0,0,0
"2018-07-12",50000,0,0,0
"2018-07-13",50000,0,0,0
"2018-07-14",50000,0,0,0
"2018-07-15",50000,0,0,0
"2018-07-16",50000,0,0,0
"2018-07-17",50000,0,0,0
"2018-07-18",50000,0,0,0
"2018-07-19",50000,0,0,0
"2018-07-20",50000,0,0,0
"2018-07-21",50000,0,0,0
"2018-07-22",50000,0,0,0
"2018-07-23",50000,0,0,0
"2018-07-24",50000,0,0,0
"2018-07-25",50000,0,0,0
"2018-07-26",50000,0,0,0
"2018-07-27",50000,0,0,0
"2018-07-28",50000,0,0,0
"2018-07-29",50000,0,0,0
"2018-07-30",50000,0,0,0
"2018-07-31",50000,0,0,0
"2018-08-01",50000,0,0,0
"2018-08-02",50000,0,0,0
"2018-08-03",50000,0,0,0
"2018-08-04",50000,0,0,0
"2018-08-05",50000,0,0,0
"2018-08-06",50000,0,0,0
"2018-08-07",50000,0,0,0
"2018-08-08",50000,0,0,0
"2018-08-09",50000,0,0,0
"2018-08-10",50000,0,0,0
"2018-08-11",50000,0,0,0
"2018-08-12",50000,0,0,0
"2018-08-13",50000,0,0,0
"2018-08-14",50000,0,0,0
"2018-08-15",50000,0,0,0
"2018-08-16",50000,0,0,0
"2018-08-17",50000,0,0,0
"2018-08-18",50000,0,0,0
"2018-08-19",50000,0,0,0
"2018-08-20",50000,0,0,0
"2018-08-21",50000,0,0,0
"2018-08-22",50000,0,0,0
"2018-08-23",50000,0,0,0
"2018-08-24",50000,0,0,0
"2018-08-25",50000,0,0,0
"2018-08-26",50000,0,0,0
"2018-08-27",50000,0,0,0
"2018-08-28",50000,0,0,0
"2018-08-29",50000,0,0,0
"2018-08-30",50000,0,0,0
"2018-08-31",50000,0,0,0
"2018-09-01",50000,0,0,0
"2018-09-02",50000,0,0,0
"2018-09-03",50000,0,0,0
"2018-09-04",50000,0,0,0
"2018-09-05",50000,0,0,0
"2018-09-06",50000,0,0,0
"2018-09-07",50000,0,0,0
"2018-09-08",50000,0,0,0
"2018-09-09",50000,0,0,0
"2018-09-10",50000,0,0,0
"2018-09-11",50000,0,0,0
"2018-09-12",50000,0,0,0
"2018-09-13",50000,0,0,0
"2018-09-14",50000,0,0,0
"2018-09-15",50000,0,0,0
"2018-09-16",50000,0,0,0
"2018-09-17",50000,0,0,0
"2018-09-18",50000,0,0,0
"2018-09-19",50000,0,0,0
"2018-09-20",50000,0,0,0
"2018-09-21",50000,0,0,0
"2018-09-22",50000,0,0,0
"2018-09-23",50000,0,0,0
"2018-09-24",50000,0,0,0
"2018-09-25",50000,0,0,0
"2018-09-26",50000,0,0,0
"2018-09-27",50000,0,0,0
"2018-09-28",50000,0,0,0
"2018-09-29",50000,0,0,0
"2018-09-30",50000,0,0,0
"2018-10-01",50000,0,0,0
"2018-10-02",50000,0,0,0
"2018-10-03",50000,0,0,0
"2018-10-04",50000,0,0,0
"2018-10-05",50000,0,0,0
"2018-10-06",50000,0,0,0
"2018-10-07",50000,0,0,0
"2018-10-08",50000,0,0,0
"2018-10-09",50000,0,0,0
"2018-10-10",50000,0,0,0
"2018-10-11",50000,0,0,0
"2018-10-12",50000,0,0,0
"2018-10-13",50000,0,0,0
"2018-10-14",50000,0,0,0
"2018-10-15",50000,0,0,0
"2018-10-16",50000,0,0,0
"2018-10-17",50000,0,0,0
"2018-10-18",50000,0,0,0
"2018-10-19",50000,0,0,0
"2018-10-20",50000,0,0,0
"2018-10-21",50000,0,0,0
"2018-10-22",50000,0,0,0
"2018-10-23",50000,0,0,0
"2018-10-24",50000,0,0,0
"2018-10-25",50000,0,0,0
"2018-10-26",50000,0,0,0
"2018-10-27",50000,0,0,0
"2018-10-28",50000,0,0,0
"2018-10-29",50000,0,0,0
"2018-10-30",50000,0,0,0
"2018-10-31",50000,0,0,0
"2018-11-01",50000,0,0,0
"2018-11-02",50000,0,0,0
"2018-11-03",50000,0,0,0
"2018-11-04",50000,0,0,0
"2018-11-05",50000,0,0,0
"2018-11-06",50000,0,0,0
"2018-11-07",50000,0,0,0
"2018-11-08",50000,0,0,0
"2018-11-09",50000,0,0,0
"2018-11-10",50000,0,0,0
"2018-11-11",50000,0,0,0
"2018-11-12",50000,0,0,0
"2018-11-13",50000,0,0,0
"2018-11-14",50000,0,0,0
"2018-11-15",50000,0,0,0
"2018-11-16",50000,0,0,0
"2018-11-17",50000,0,0,0
"2018-11-18",50000,0,0,0
"2018-11-19",50000,0,0,0
"2018-11-20",50000,0,0,0
"2018-11-21",50000,0,0,0
"2018-11-22",50000,0,0,0
"2018-11-23",50000,0,0,0
"2018-11-24",50000,0,0,0
"2018-11-25",50000,0,0,0
"2018-11-26",50000,0,0,0
"2018-11-27",50000,0,0,0
"2018-11-28",50000,0,0,0
"2018-11-29",50000,0,0,0
"2018-11-30",50000,0,0,0
"2018-12-01",50000,0,0,0
"2018-12-02",50000,0,0,0
"2018-12-03",50000,0,0,0
"2018-12-04",50000,0,0,0
"2018-12-05",50000,0,0,0
"2018-12-06",50000,0,0,0
"2018-12-07",50000,0,0,0
"2018-12-08",50000,0,0,0
"2018-12-09",50000,0,0,0
"2018-12-10",50000,0,0,0
"2018-12-11",50000,0,0,0
"2018-12-12",50000,0,0,0
"2018-12-13",50000,0,0,0
"2018-12-14",50000,0,0,0
"2018-12-15",50000,0,0,0
"2018-12-16",50000,0,0,0
"2018-12-17",50000,0,0,0
"2018-12-18",50000,0,0,0
"2018-12-19",50000,0,0,0
"2018-12-20",50000,0,0,0
"2018-12-21",50000,0,0,0
"2018-12-22",50000,0,0,0
"2018-12-23",50000,0,0,0
"2018-12-24",50000,0,0,0
"2018-12-25",50000,0,0,0
"2018-12-26",50000,0,0,0
"2018-12-27",50000,0,0,0
"2018-12-28",50000,0,0,0
"2018-12-29",50000,0,0,0
"2018-12-30",50000,0,0,0
"2018-12-31",50000,0,0,0
"2019-01-01",50000,0,0,0
"2019-01-02",50000,0,0,0
"2019-01-03",50000,0,0,0
"2019-01-04",50000,0,0,0
"2019-01-05",50000,0,0,0
"2019-01-06",50000,0,0,0
"2019-01-07",50000,0,0,0
"2019-01-08",50000,0,0,0
"2019-01-09",50000,0,0,0
"2019-01-10",50000,0,0,0
"2019-01-11",50000,0,0,0
