"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2019-01-10",27421,0,0,0
"2019-01-11",27421,0,0,0
"2019-01-12",27421,0,0,0
"2019-01-13",27421,0,0,0
"2019-01-14",27421,0,0,0
"2019-01-15",27421,0,0,0
"2019-01-16",27421,0,0,0
"2019-01-17",27421,0,0,0
"2019-01-18",27421,0,0,0
"2019-01-19",27421,0,0,0
"2019-01-20",27421,0,0,0
"2019-01-21",27421,0,0,0
"2019-01-22",27421,0,0,0
"2019-01-23",27421,0,0,0
"2019-01-24",27421,0,0,0
"2019-01-25",27421,0,0,0
"2019-01-26",27421,0,0,0
"2019-01-27",27421,0,0,0
"2019-01-28",27421,0,0,0
"2019-01-29",27421,0,0,0
"2019-01-30",27421,0,0,0
"2019-01-31",27421,0,0,0
"2019-02-01",27421,0,0,0
"2019-02-02",27421,0,0,0
"2019-02-03",27421,0,0,0
"2019-02-04",27421,0,0,0
"2019-02-05",27421,0,0,0
"2019-02-06",27421,0,0,0
"2019-02-07",27421,0,0,0
"2019-02-08",27421,0,0,0
"2019-02-09",27421,0,0,0
"2019-02-10",27421,0,0,0
"2019-02-11",27421,0,0,0
"2019-02-12",27421,0,0,0
"2019-02-13",27421,0,0,0
"2019-02-14",27421,0,0,0
"2019-02-15",27421,0,0,0
"2019-02-16",27421,0,0,0
"2019-02-17",27421,0,0,0
"2019-02-18",27421,0,0,0
"2019-02-19",27421,0,0,0
"2019-02-20",27421,0,0,0
"2019-02-21",27421,0,0,0
"2019-02-22",27421,0,0,0
"2019-02-23",27421,0,0,0
"2019-02-24",27421,0,0,0
"2019-02-25",27421,0,0,0
"2019-02-26",27421,0,0,0
"2019-02-27",27421,0,0,0
"2019-02-28",27421,0,0,0
"2019-03-01",27421,0,0,0
"2019-03-02",27421,0,0,0
"2019-03-03",27421,0,0,0
"2019-03-04",27421,0,0,0
"2019-03-05",27421,0,0,0
"2019-03-06",27421,0,0,0
"2019-03-07",27421,0,0,0
"2019-03-08",27421,0,0,0
"2019-03-09",27421,0,0,0
"2019-03-10",27421,0,0,0
"2019-03-11",27421,0,0,0
"2019-03-12",27421,0,0,0
"2019-03-13",27421,0,0,0
"2019-03-14",27421,0,0,0
"2019-03-15",27421,0,0,0
"2019-03-16",27421,0,0,0
"2019-03-17",27421,0,0,0
"2019-03-18",27421,0,0,0
"2019-03-19",27421,0,0,0
"2019-03-20",27421,0,0,0
"2019-03-21",27421,0,0,0
"2019-03-22",27421,0,0,0
"2019-03-23",27421,0,0,0
"2019-03-24",27421,0,0,0
"2019-03-25",27421,0,0,0
"2019-03-26",27421,0,0,0
"2019-03-27",27421,0,0,0
"2019-03-28",27421,0,0,0
"2019-03-29",27421,0,0,0
"2019-03-30",27421,0,0,0
"2019-03-31",27421,0,0,0
"2019-04-01",27421,0,0,0
"2019-04-02",27421,0,0,0
"2019-04-03",27421,0,0,0
"2019-04-04",27421,0,0,0
"2019-04-05",27421,0,0,0
"2019-04-06",27421,0,0,0
"2019-04-07",27421,0,0,0
"2019-04-08",27421,0,0,0
"2019-04-09",27421,0,0,0
"2019-04-10",27421,0,0,0
"2019-04-11",27421,0,0,0
"2019-04-12",27421,0,0,0
"2019-04-13",27421,0,0,0
"2019-04-14",27421,0,0,0
"2019-04-15",27421,0,0,0
"2019-04-16",27421,0,0,0
"2019-04-17",27421,0,0,0
"2019-04-18",27421,0,0,0
"2019-04-19",27421,0,0,0
"2019-04-20",27421,0,0,0
"2019-04-21",27421,0,0,0
"2019-04-22",27421,0,0,0
"2019-04-23",27421,0,0,0
"2019-04-24",27421,0,0,0
"2019-04-25",27421,0,0,0
"2019-04-26",27421,0,0,0
"2019-04-27",27421,0,0,0
"2019-04-28",27421,0,0,0
"2019-04-29",27421,0,0,0
"2019-04-30",27421,0,0,0
"2019-05-01",27421,0,0,0
"2019-05-02",27421,0,0,0
"2019-05-03",27421,0,0,0
"2019-05-04",27421,0,0,0
"2019-05-05",27421,0,0,0
"2019-05-06",27421,0,0,0
"2019-05-07",27421,0,0,0
"2019-05-08",27421,0,0,0
"2019-05-09",27421,0,0,0
"2019-05-10",27421,0,0,0
"2019-05-11",27421,0,0,0
"2019-05-12",27421,0,0,0
"2019-05-13",27421,0,0,0
"2019-05-14",27421,0,0,0
"2019-05-15",27421,0,0,0
"2019-05-16",27421,0,0,0
"2019-05-17",27421,0,0,0
"2019-05-18",27421,0,0,0
"2019-05-19",27421,0,0,0
"2019-05-20",27421,0,0,0
"2019-05-21",27421,0,0,0
"2019-05-22",27421,0,0,0
"2019-05-23",27421,0,0,0
"2019-05-24",27421,0,0,0
"2019-05-25",27421,0,0,0
"2019-05-26",27421,0,0,0
"2019-05-27",27421,0,0,0
"2019-05-28",27421,0,0,0
"2019-05-29",27421,0,0,0
"2019-05-30",27421,0,0,0
"2019-05-31",27421,0,0,0
"2019-06-01",27421,0,0,0
"2019-06-02",27421,0,0,0
"2019-06-03",27421,0,0,0
"2019-06-04",27421,0,0,0
"2019-06-05",27421,0,0,0
"2019-06-06",27421,0,0,0
"2019-06-07",27421,0,0,0
"2019-06-08",27421,0,0,0
"2019-06-09",27421,0,0,0
"2019-06-10",27421,0,0,0
"2019-06-11",27421,0,0,0
"2019-06-12",27421,0,0,0
"2019-06-13",27421,0,0,0
"2019-06-14",27421,0,0,0
"2019-06-15",27421,0,0,0
"2019-06-16",27421,0,0,0
"2019-06-17",27421,0,0,0
"2019-06-18",27421,0,0,0
"2019-06-19",27421,0,0,0
"2019-06-20",27421,0,0,0
"2019-06-21",27421,0,0,0
"2019-06-22",27421,0,0,0
"2019-06-23",27421,0,0,0
"2019-06-24",27421,0,0,0
"2019-06-25",27421,0,0,0
"2019-06-26",27421,0,0,0
"2019-06-27",27421,0,0,0
"2019-06-28",27421,0,0,0
"2019-06-29",27421,0,0,0
"2019-06-30",27421,0,0,0
"2019-07-01",27421,0,0,0
"2019-07-02",27421,0,0,0
"2019-07-03",27421,0,0,0
"2019-07-04",27421,0,0,0
"2019-07-05",27421,0,0,0
"2019-07-06",27421,0,0,0
"2019-07-07",27421,0,0,0
"2019-07-08",27421,0,0,0
"2019-07-09",27421,0,0,0
"2019-07-10",27421,0,0,0
"2019-07-11",27421,0,0,0
"2019-07-12",27421,0,0,0
"2019-07-13",27421,0,0,0
"2019-07-14",27421,0,0,0
"2019-07-15",27421,0,0,0
"2019-07-16",27421,0,0,0
"2019-07-17",27421,0,0,0
"2019-07-18",27421,0,0,0
"2019-07-19",27421,0,0,0
"2019-07-20",27421,0,0,0
"2019-07-21",27421,0,0,0
"2019-07-22",27421,0,0,0
"2019-07-23",27421,0,0,0
"2019-07-24",27421,0,0,0
"2019-07-25",27421,0,0,0
"2019-07-26",27421,0,0,0
"2019-07-27",27421,0,0,0
"2019-07-28",27421,0,0,0
"2019-07-29",27421,0,0,0
"2019-07-30",27421,0,0,0
"2019-07-31",27421,0,0,0
"2019-08-01",27421,0,0,0
"2019-08-02",27421,0,0,0
"2019-08-03",27421,0,0,0
"2019-08-04",27421,0,0,0
"2019-08-05",27421,0,0,0
"2019-08-06",27421,0,0,0
"2019-08-07",27421,0,0,0
"2019-08-08",27421,0,0,0
"2019-08-09",27421,0,0,0
"2019-08-10",27421,0,0,0
"2019-08-11",27421,0,0,0
"2019-08-12",27421,0,0,0
"2019-08-13",27421,0,0,0
"2019-08-14",27421,0,0,0
"2019-08-15",27421,0,0,0
"2019-08-16",27421,0,0,0
"2019-08-17",27421,0,0,0
"2019-08-18",27421,0,0,0
"2019-08-19",27421,0,0,0
"2019-08-20",27421,0,0,0
"2019-08-21",27421,0,0,0
"2019-08-22",27421,0,0,0
"2019-08-23",27421,0,0,0
"2019-08-24",27421,0,0,0
"2019-08-25",27421,0,0,0
"2019-08-26",27421,0,0,0
"2019-08-27",27421,0,0,0
"2019-08-28",27421,0,0,0
"2019-08-29",27421,0,0,0
"2019-08-30",27421,0,0,0
"2019-08-31",27421,0,0,0
"2019-09-01",27421,0,0,0
"2019-09-02",27421,0,0,0
"2019-09-03",27421,0,0,0
"2019-09-04",27421,0,0,0
"2019-09-05",27421,0,0,0
"2019-09-06",27421,0,0,0
"2019-09-07",27421,0,0,0
"2019-09-08",27421,0,0,0
"2019-09-09",27421,0,0,0
"2019-09-10",27421,0,0,0
"2019-09-11",27421,0,0,0
"2019-09-12",27421,0,0,0
"2019-09-13",27421,0,0,0
"2019-09-14",27421,0,0,0
"2019-09-15",27421,0,0,0
"2019-09-16",27421,0,0,0
"2019-09-17",27421,0,0,0
"2019-09-18",27421,0,0,0
"2019-09-19",27421,0,0,0
"2019-09-20",27421,0,0,0
"2019-09-21",27421,0,0,0
"2019-09-22",27421,0,0,0
"2019-09-23",27421,0,0,0
"2019-09-24",27421,0,0,0
"2019-09-25",27421,0,0,0
"2019-09-26",27421,0,0,0
"2019-09-27",27421,0,0,0
"2019-09-28",27421,0,0,0
"2019-09-29",27421,0,0,0
"2019-09-30",27421,0,0,0
"2019-10-01",27421,0,0,0
"2019-10-02",27421,0,0,0
"2019-10-03",27421,0,0,0
"2019-10-04",27421,0,0,0
"2019-10-05",27421,0,0,0
"2019-10-06",27421,0,0,0
"2019-10-07",27421,0,0,0
"2019-10-08",27421,0,0,0
"2019-10-09",27421,0,0,0
"2019-10-10",27421,0,0,0
"2019-10-11",27421,0,0,0
"2019-10-12",27421,0,0,0
"2019-10-13",27421,0,0,0
"2019-10-14",27421,0,0,0
"2019-10-15",27421,0,0,0
"2019-10-16",27421,0,0,0
"2019-10-17",27421,0,0,0
"2019-10-18",27421,0,0,0
"2019-10-19",27421,0,0,0
"2019-10-20",27421,0,0,0
"2019-10-21",27421,0,0,0
"2019-10-22",27421,0,0,0
"2019-10-23",27421,0,0,0
"2019-10-24",27421,0,0,0
"2019-10-25",27421,0,0,0
"2019-10-26",27421,0,0,0
"2019-10-27",27421,0,0,0
"2019-10-28",27421,0,0,0
"2019-10-29",27421,0,0,0
"2019-10-30",27421,0,0,0
"2019-10-31",27421,0,0,0
"2019-11-01",27421,0,0,0
"2019-11-02",27421,0,0,0
"2019-11-03",27421,0,0,0
"2019-11-04",27421,0,0,0
"2019-11-05",27421,0,0,0
"2019-11-06",27421,0,0,0
"2019-11-07",27421,0,0,0
"2019-11-08",27421,0,0,0
"2019-11-09",27421,0,0,0
"2019-11-10",27421,0,0,0
"2019-11-11",27421,0,0,0
"2019-11-12",27421,0,0,0
"2019-11-13",27421,0,0,0
"2019-11-14",27421,0,0,0
"2019-11-15",27421,0,0,0
"2019-11-16",27421,0,0,0
"2019-11-17",27421,0,0,0
"2019-11-18",27421,0,0,0
"2019-11-19",27421,0,0,0
"2019-11-20",27421,0,0,0
"2019-11-21",27421,0,0,0
"2019-11-22",27421,0,0,0
"2019-11-23",27421,0,0,0
"2019-11-24",27421,0,0,0
"2019-11-25",27421,0,0,0
"2019-11-26",27421,0,0,0
"2019-11-27",27421,0,0,0
"2019-11-28",27421,0,0,0
"2019-11-29",27421,0,0,0
"2019-11-30",27421,0,0,0
"2019-12-01",27421,0,0,0
"2019-12-02",27421,0,0,0
"2019-12-03",27421,0,0,0
"2019-12-04",27421,0,0,0
"2019-12-05",27421,0,0,0
"2019-12-06",27421,0,0,0
"2019-12-07",27421,0,0,0
"2019-12-08",27421,0,0,0
"2019-12-09",27421,0,0,0
"2019-12-10",27421,0,0,0
"2019-12-11",27421,0,0,0
"2019-12-12",27421,0,0,0
"2019-12-13",27421,0,0,0
"2019-12-14",27421,0,0,0
"2019-12-15",27421,0,0,0
"2019-12-16",27421,0,0,0
"2019-12-17",27421,0,0,0
"2019-12-18",27421,0,0,0
"2019-12-19",27421,0,0,0
"2019-12-20",27421,0,0,0
"2019-12-21",27421,0,0,0
"2019-12-22",27421,0,0,0
"2019-12-23",27421,0,0,0
"2019-12-24",27421,0,0,0
"2019-12-25",27421,0,0,0
"2019-12-26",27421,0,0,0
"2019-12-27",27421,0,0,0
"2019-12-28",27421,0,0,0
"2019-12-29",27421,0,0,0
"2019-12-30",27421,0,0,0
"2019-12-31",27421,0,0,0
"2020-01-01",27421,0,0,0
"2020-01-02",27421,0,0,0
"2020-01-03",27421,0,0,0
"2020-01-04",27421,0,0,0
"2020-01-05",27421,0,0,0
"2020-01-06",27421,0,0,0
"2020-01-07",27390.99,NA,NA,NA
